"Navn";"NVDB_id";"SkiltetLengde";"Åpningsår";"Kommune";"AntallTunnelløp";"MaksAngittLengdeTunnelløp";"MaksFysiskLengdeTunnelløp";"ÅpningsårFraTunnelløp";"kommunerTunnelløp";"SSRtreff";"soketerm";"soketerm2";"X_utm32";"y_utm32";"SSR navn";"ssr_url"
"Dørefjelltunnelen";"78728406";"800";"2005";"1416";"1";"800.0";"760.3437834536098";"";"1416";"INGEN";"dørefjell";"dørefjell";"327949.32794110314";"6770964.946584152";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=d%C3%B8refjell%2A&ostLL=-12112.6816&nordLL=6784612.12339&ostUR=21887.3184&nordUR=6818612.12339"
"Blombakktunnelen";"78728413";"300";"2005";"1416";"1";"303.0";"303.71229608956645";"";"1416";"INGEN";"blombakk";"blombakk";"327321.6967570884";"6770280.013085896";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=blombakk%2A&ostLL=-12802.334350000001&nordLL=6783986.01994&ostUR=21197.66565&nordUR=6817986.01994"
"Lakshammartunnelen";"78728420";"120";"2004";"1445";"1";"120.0";"117.41397845669248";"";"1445";"INGEN";"lakshammar";"lakshammar";"337139.60727631045";"6845654.026534301";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=lakshammar%2A&ostLL=3954.737219999999&nordLL=6858326.71781&ostUR=37954.737219999995&nordUR=6892326.71781"
"Skasvoratunnelen";"78728486";"90";"2005";"1445";"1";"90.0";"88.51662811669266";"";"1445";"EKSAKT-forenklet1";"skasvora";"";"339876.7051490996";"6851591.744564639";"Skasvora";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=skasvora%2A&ostLL=7236.608120000001&nordLL=6864000.27881&ostUR=41236.608120000004&nordUR=6898000.27881"
"Bogstunnelen";"78728489";"3482";"2004";"1416";"1";"3482.0";"3489.2694234401743";"";"1416";"EKSAKT";"Bogstunnelen";"";"326755.00491640717";"6786930.257782993";"Bogstunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Bogstunnelen%2A&ostLL=-11835.19017&nordLL=6800661.87848&ostUR=22164.80983&nordUR=6834661.87848"
"Borgundtunnelen";"78729243";"3000";"2004";"1422";"1";"3050.0";"3047.298077533467";"";"1422";"EKSAKT-forenklet1";"borgund";"";"434668.0993659771";"6769485.580539083";"Borgundstunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=borgund%2A&ostLL=94256.52932&nordLL=6773327.61752&ostUR=128256.52932&nordUR=6807327.61752"
"Breiskredatunnelen";"78729869";"180";"2003";"1418";"1";"180.0";"180.45212212169608";"";"1418";"EKSAKT-forenklet1";"breiskreda";"";"368782.5646567979";"6798489.661353847";"Breiskreda";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=breiskreda%2A&ostLL=31182.58414&nordLL=6808328.35187&ostUR=65182.58414&nordUR=6842328.35187"
"Seltatunnelen";"78729900";"1600";"2003";"1422";"1";"1632.0";"1634.9257770145175";"";"1422";"EKSAKT";"Seltatunnelen";"";"431766.88137138414";"6769220.396583606";"Seltatunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Seltatunnelen%2A&ostLL=91337.93878&nordLL=6773329.43749&ostUR=125337.93878&nordUR=6807329.43749"
"Hovlandstunnelen";"78730275";"184";"2003";"1401";"1";"183.0";"184.07489522456444";"";"1401";"EKSAKT-forenklet1";"hovland";"";"311811.3187541136";"6834083.753602109";"Hovland";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=hovland%2A&ostLL=-22401.52843&nordLL=6849119.89185&ostUR=11598.47157&nordUR=6883119.89185"
"Trettetungenetunnelen";"78730331";"341";"2002";"1417";"1";"341.0";"336.80817259551634";"";"1417";"INGEN";"trettetungen";"trettetung";"385322.3590561134";"6775990.034419233";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=trettetung%2A&ostLL=45618.37543&nordLL=6784351.27966&ostUR=79618.37543&nordUR=6818351.27966"
